Code,Human Development Index,Fertility Rate,Population,Country Name
AUS,0.896,1.764,19.1324,Australia
BRA,0.668,2.247,174.0182,Brazil
CAN,0.89,1.51,30.8918,Canada
CHN,0.586,1.628,1269.5811,China
DEU,0.89,1.386,81.7972,Germany
ESP,0.828,1.21,41.0197,Spain
FRA,0.844,1.876,59.4837,France
GBR,0.863,1.641,59.0573,United Kingdom
IND,0.49,3.35,1057.9227,India
ITA,0.842,1.249,57.2722,Italy
JPN,0.883,1.346,127.0278,Japan
KOR,0.824,1.467,46.7666,South Korea
MEX,0.709,2.714,98.6255,Mexico
RUS,0.733,1.19,146.7177,Russia
USA,0.894,2.03,281.4841,United States
